Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492965810587,86.81,210.4,26.26,53.21,-64.68,0.309119,159.93,0,0.186006,0.0024292
1492965810603,86.79,210.65,26.27,53.62,-64.38,0,159.97,0,0.250798,0.0647923
1492965810615,86.77,210.83,26.33,53.87,-64.33,-0.15456,160.01,0,0.181116,-0.0696824
1492965810631,86.87,210.97,26.47,54.24,-63.94,-0.463679,160.05,0,0.172045,-0.00907093
1492965810639,86.99,211.04,26.71,54.29,-63.83,0.15456,160.08,0,0.138923,-0.0331223
1492965810647,87.28,211.09,26.69,54.24,-63.85,-0.463679,160.1,0,0.29428,0.155357
1492965810653,87.56,211.16,26.93,54.15,-64.07,-0.309119,160.12,0,0.288614,-0.00566593
1492965810659,87.74,211.19,27.18,54.29,-63.91,-0.15456,160.14,0,0.182485,-0.106129
1492965810667,87.85,211.21,27.45,54.24,-63.92,0,160.16,0,0.111802,-0.0706834
1492965810675,88.05,211.25,27.51,54.16,-63.99,-0.309119,160.18,0,0.203959,0.0921574
1492965810695,88.16,211.3,27.59,54.31,-64.05,0.309119,160.22,0,0.120826,-0.0831335
1492965810711,88.27,211.27,27.76,54,-63.91,-0.15456,160.27,0,0.114018,-0.00680815
1492965810727,88.3,211.1,27.92,54.13,-63.42,-0.463679,160.31,0,0.172625,0.0586069
1492965810739,88.48,211.01,27.94,54,-63.49,-0.309119,160.35,0,0.201245,0.02862
1492965810747,88.76,211.02,27.89,53.93,-63.51,0.309119,160.38,0,0.280177,0.0789323
1492965810755,88.96,210.97,27.71,53.83,-63.48,-0.15456,160.4,0,0.206157,-0.0740203
1492965810762,89.15,210.94,27.57,53.89,-63.32,-0.309119,160.42,0,0.192356,-0.0138007
1492965810769,89.48,210.95,27.64,53.61,-63.4,0,160.44,0,0.330146,0.137789
1492965810776,89.86,210.93,27.43,53.48,-63.4,0,160.46,0,0.380531,0.0503855
1492965810783,90.07,210.97,27.33,53.32,-63.62,-0.309119,160.48,0,0.213776,-0.166755
1492965810790,90.2,210.94,27.1,53.24,-63.52,-0.15456,160.5,0,0.133414,-0.0803626
1492965810797,90.41,210.93,27.03,53,-63.91,-0.15456,160.52,0,0.210238,0.0768238
1492965810811,90.65,210.83,26.87,52.64,-64.18,-0.618238,160.55,0,0.260002,0.049764
1492965810818,90.7,210.73,26.63,52.57,-64.43,-0.309119,160.58,0,0.111807,-0.148195
1492965810825,90.47,210.56,26.44,52.51,-64.49,-0.309119,160.6,0,0.286002,0.174196
1492965810832,90.22,210.39,26.24,52.18,-64.51,-0.463679,160.62,0,0.302323,0.0163209
1492965810839,90.07,210.28,26.04,52.21,-64.41,0.15456,160.64,0,0.186012,-0.116311
1492965810847,89.91,210,25.76,52.18,-64.34,-0.309119,160.66,0,0.322491,0.136479
1492965810854,89.73,209.81,25.74,52.04,-64.13,-0.15456,160.68,0,0.261727,-0.060764
1492965810861,89.61,209.61,25.5,52.25,-63.72,0.463679,160.7,0,0.233233,-0.0284941
1492965810868,89.47,209.45,25.49,52.38,-63.53,-0.15456,160.72,0,0.212605,-0.0206277
1492965810879,89.37,209.25,25.38,52.41,-63.26,-0.463679,160.75,0,0.223607,0.0110015
1492965810895,89.35,209.01,25.5,52.15,-62.63,-0.463679,160.79,0,0.240837,0.0172303
1492965810903,89.55,208.77,25.53,52.18,-62.04,0.309119,160.82,0,0.312412,0.0715752
1492965810915,89.74,208.54,25.53,52.09,-60.98,-0.463679,160.85,0,0.298327,-0.0140853
1492965810923,89.95,208.37,25.41,52.15,-60.2,-0.15456,160.88,0,0.270183,-0.0281437
1492965810931,90.07,208.26,25.18,52.45,-59.37,0.309119,160.9,0,0.162791,-0.107393
1492965810947,90.29,208.14,24.99,52.82,-57.98,-0.15456,160.93,0,0.250598,0.0878074
1492965810954,90.77,207.96,24.56,53.14,-57.45,0.15456,160.96,0,0.512639,0.262041
1492965810961,91.22,207.85,24.5,53.52,-56.89,-0.15456,160.98,0,0.463254,-0.049385
1492965810969,91.72,207.79,24.42,53.44,-56.18,-0.618238,161,0,0.503587,0.0403329
1492965810976,92.34,207.72,24.51,53.7,-55.61,0.15456,161.02,0,0.623933,0.120346
1492965810983,92.92,207.66,24.6,53.88,-55.41,-0.463679,161.04,0,0.583098,-0.040835
1492965810990,93.63,207.62,24.45,53.72,-55.58,-0.15456,161.06,0,0.711125,0.128026
1492965810998,94.45,207.56,24.57,53.54,-55.63,0.15456,161.08,0,0.822192,0.111067
1492965811004,95.04,207.53,24.66,53.45,-55.39,-0.309119,161.1,0,0.590766,-0.231426
1492965811011,95.72,207.45,24.54,53.16,-55.6,-0.618238,161.12,0,0.68469,0.0939241
1492965811018,96.26,207.48,24.65,53.17,-55.87,0,161.14,0,0.540826,-0.143864
1492965811024,96.51,207.46,24.67,52.81,-55.97,-0.15456,161.16,0,0.250799,-0.290027
1492965811031,96.66,207.44,24.52,52.56,-56.28,-0.618238,161.18,0,0.151328,-0.0994715
1492965811039,96.74,207.45,24.33,52.14,-56.63,0.15456,161.2,0,0.0806237,-0.0707038
1492965811047,96.91,207.43,24.11,51.89,-57.14,-0.15456,161.22,0,0.171171,0.0905474
1492965811053,96.98,207.41,23.84,51.54,-57.75,-0.309119,161.24,0,0.072802,-0.0983691
1492965811067,97.05,207.39,23.57,50.88,-59.09,-0.463679,161.27,0,0.0727978,-4.18723e-006
1492965811075,96.98,207.57,23.17,50.59,-59.75,-0.15456,161.3,0,0.193125,0.120327
1492965811082,96.81,207.62,22.96,50.35,-60.37,-0.463679,161.32,0,0.1772,-0.0159256
1492965811089,96.51,207.66,22.92,50.38,-60.89,0,161.34,0,0.302657,0.125457
1492965811097,96.11,207.74,22.9,50.25,-61.5,-0.309119,161.36,0,0.407916,0.105259
1492965811104,95.71,207.85,22.88,50.19,-61.53,-0.15456,161.38,0,0.414851,0.00693506
1492965811112,95.19,207.95,22.92,50.16,-61.63,-0.618238,161.4,0,0.529533,0.114682
1492965811120,94.82,208.09,22.89,50.05,-61.8,-0.309119,161.42,0,0.395596,-0.133937
1492965811127,94.55,208.21,22.91,50.12,-61.94,-0.15456,161.44,0,0.295468,-0.100128
1492965811134,94.37,208.3,23.02,50.13,-62.37,-0.309119,161.46,0,0.201245,-0.0942229
1492965811141,94.15,208.26,23.06,50.11,-62.38,-0.618238,161.48,0,0.223599,0.0223546
1492965811151,94.21,208.43,23.12,50.06,-62.63,-0.463679,161.51,0,0.180275,-0.0433243
1492965811167,94.26,208.51,23,49.97,-62.45,-0.772798,161.55,0,0.0943389,-0.0859361
1492965811179,94.31,208.52,22.8,49.74,-62.85,-0.309119,161.59,0,0.0509921,-0.0433468
1492965811187,94.33,208.61,22.3,49.64,-63.48,0,161.62,0,0.092206,0.0412139
1492965811203,94.26,208.57,22.02,49.15,-63.18,-0.463679,161.65,0,0.0806266,-0.0115795
1492965811211,94.2,208.54,21.67,48.92,-63.57,-0.463679,161.68,0,0.0670793,-0.0135472
1492965811218,94.07,208.49,21.38,48.61,-63.75,0,161.7,0,0.139282,0.0722031
1492965811225,93.86,208.37,20.97,48.39,-64.03,-0.309119,161.72,0,0.241865,0.102582
1492965811232,93.5,208.28,20.46,48.32,-64.32,0.15456,161.74,0,0.371079,0.129215
1492965811239,93.31,208.16,20.08,48.1,-64.22,-0.309119,161.76,0,0.22473,-0.14635
1492965811247,93.01,208.08,19.22,47.89,-64.38,0,161.78,0,0.310483,0.0857533
1492965811254,92.63,207.91,18.7,47.72,-64.49,-0.309119,161.8,0,0.416296,0.105813
1492965811260,92.23,207.77,18.19,47.63,-64.69,-0.772798,161.82,0,0.423794,0.00749752
1492965811267,91.81,207.59,17.69,47.34,-64.7,0,161.84,0,0.456942,0.0331482
1492965811275,91.35,207.41,17.24,46.99,-64.92,0,161.86,0,0.493966,0.0370238
1492965811281,91.07,207.19,16.86,46.83,-65.09,-0.15456,161.88,0,0.35608,-0.137885
1492965811287,90.67,206.94,16.35,46.79,-65.44,-0.309119,161.9,0,0.4717,0.11562
1492965811295,90.37,206.69,16.01,46.54,-65.75,0,161.92,0,0.390515,-0.0811855
1492965811303,90.02,206.36,15.67,46.45,-66.03,0.15456,161.94,0,0.481041,0.0905259
1492965811311,89.56,205.97,15.16,46.11,-66.32,-0.463679,161.96,0,0.603074,0.122034
1492965811318,89.25,205.69,14.8,45.95,-66.7,0,161.98,0,0.417729,-0.185345
1492965811325,88.97,205.43,14.67,45.79,-66.81,-0.15456,162,0,0.382105,-0.0356241
1492965811332,88.65,205.1,14.56,45.79,-66.94,-0.618238,162.02,0,0.459675,0.0775697
1492965811339,88.29,204.79,14.45,45.61,-67.77,-0.15456,162.04,0,0.475078,0.0154029
1492965811347,87.97,204.47,14.47,45.68,-68.07,-0.309119,162.06,0,0.452543,-0.0225353
1492965811354,87.66,204.12,14.34,45.41,-68.33,0.15456,162.08,0,0.467555,0.0150123
1492965811361,87.32,203.73,14.29,45.25,-68.37,-0.463679,162.1,0,0.517394,0.0498397
1492965811368,86.98,203.1,14.48,45.33,-68.84,-0.309119,162.12,0,0.715897,0.198503
1492965811375,86.64,202.51,14.66,45.22,-68.88,-0.309119,162.14,0,0.68095,-0.034947
1492965811382,86.14,201.81,14.71,44.91,-68.93,-0.15456,162.16,0,0.86023,0.17928
1492965811388,85.83,201.18,14.86,44.73,-69.16,-0.463679,162.18,0,0.702143,-0.158087
1492965811395,85.51,200.51,14.92,44.59,-69.73,-0.309119,162.2,0,0.742497,0.0403544
1492965811403,85.26,199.85,15.04,44.46,-70.1,-0.309119,162.22,0,0.705765,-0.0367318
1492965811411,84.82,199.11,15.27,44.06,-70.77,0,162.24,0,0.860919,0.155153
1492965811417,84.57,198.46,15.4,44.12,-71.21,-0.309119,162.26,0,0.696428,-0.164491
1492965811423,84.19,197.45,15.64,43.97,-71.44,0.15456,162.28,0,1.07912,0.382689
1492965811431,83.82,196.73,15.77,43.83,-71.64,0,162.3,0,0.809505,-0.269612
1492965811439,83.48,195.99,15.83,43.66,-71.11,-0.772798,162.32,0,0.814378,0.00487268
1492965811447,83.17,195.28,15.86,43.52,-70.14,-0.309119,162.34,0,0.774717,-0.0396606
1492965811453,82.82,194.37,15.81,43.66,-69.32,-0.463679,162.36,0,0.97499,0.200273
1492965811459,82.62,193.29,15.71,43.89,-68.29,-0.309119,162.38,0,1.09837,0.123375
1492965811467,82.61,192.44,15.62,43.72,-67.01,-0.618238,162.4,0,0.85005,-0.248315
1492965811475,82.59,191.52,15.51,44.3,-65.21,-0.463679,162.42,0,0.920231,0.0701813
1492965811481,82.82,190.63,15.37,44.88,-63.15,0.618238,162.44,0,0.919239,-0.000991762
1492965811487,83.26,189.2,15.16,45.39,-62.08,-0.463679,162.46,0,1.49615,0.576914
1492965811495,83.56,188.21,15.12,45.97,-61.8,-0.15456,162.48,0,1.03446,-0.461691
1492965811503,83.95,187.2,15.14,46.31,-61.61,-0.772798,162.5,0,1.08268,0.048214
1492965811511,84.32,186.09,14.92,46.16,-61.68,-0.772798,162.52,0,1.17004,0.0873677
1492965811517,84.91,185.11,14.96,45.16,-61.66,-0.463679,162.54,0,1.14389,-0.0261528
1492965811523,85.58,183.98,14.92,44.74,-61.46,-0.309119,162.56,0,1.3137,0.169813
1492965811531,86.19,183.14,14.87,44.46,-61.11,-0.463679,162.58,0,1.03812,-0.275588
1492965811539,86.69,182.24,14.77,44.36,-61.11,-0.309119,162.6,0,1.02957,-0.00854528
1492965811547,87.22,181.35,14.45,44.21,-61.23,-0.15456,162.62,0,1.03586,0.00628889
1492965811553,87.39,180.89,14.08,43.86,-61.1,-0.618238,162.64,0,0.490399,-0.54546
1492965811560,87.53,180.54,13.03,43.87,-61.51,-0.463679,162.66,0,0.376967,-0.113432
1492965811567,87.65,180.36,12.41,43.54,-61.42,-0.309119,162.68,0,0.216329,-0.160638
1492965811575,87.8,180.12,11.89,42.69,-61.56,-0.309119,162.7,0,0.283021,0.0666924
1492965811581,87.92,179.86,11.42,42.41,-61.67,-0.463679,162.72,0,0.286353,0.00333172
1492965811587,88,179.62,10.92,42.27,-61.9,-0.618238,162.74,0,0.252988,-0.0333646
1492965811595,88.15,179.55,10.31,42.06,-62.44,-0.309119,162.76,0,0.165527,-0.0874605
1492965811603,88.31,179.51,9.67,41.81,-62.8,-0.309119,162.78,0,0.164922,-0.000605032
1492965811611,88.47,179.54,9.06,41.72,-63.25,-0.772798,162.8,0,0.162792,-0.00213087
1492965811618,88.59,179.64,8.2,41.34,-63.83,-0.772798,162.82,0,0.156205,-0.00658643
1492965811625,88.68,179.63,7.87,41.06,-64.36,-0.618238,162.84,0,0.0905589,-0.0656463
1492965811632,88.67,179.57,7.65,41.16,-64.6,-0.309119,162.86,0,0.0608256,-0.0297333
1492965811639,88.53,179.48,7.5,40.92,-65.33,-0.15456,162.88,0,0.166431,0.105605
1492965811651,88.32,179.38,7.37,40.21,-67.13,-0.463679,162.91,0,0.232596,0.0661652
1492965811659,87.97,179.29,7.38,39.91,-67.89,-0.15456,162.94,0,0.361384,0.128788
1492965811667,87.68,179.22,7.44,39.45,-69.18,-0.927357,162.96,0,0.298328,-0.0630561
1492965811675,87.33,179.14,7.85,39.08,-70.18,-0.772798,162.98,0,0.359025,0.0606976
1492965811681,86.92,179.11,8.05,38.84,-71.06,-0.309119,163,0,0.4111,0.0520743
1492965811687,86.46,179.11,8.11,38.83,-71.53,-0.15456,163.02,0,0.459999,0.0488994
1492965811695,85.96,179.07,8.34,38.94,-71.66,-0.618238,163.04,0,0.501598,0.041599
1492965811703,85.47,179.13,8.52,39.01,-71.89,-0.618238,163.06,0,0.493657,-0.00794074
1492965811711,84.95,179.13,8.56,39.14,-72.22,-0.463679,163.08,0,0.520004,0.0263469
1492965811717,84.58,179.09,8.65,39.24,-72.42,-0.15456,163.1,0,0.37215,-0.147854
1492965811723,84.32,178.96,8.78,39.22,-72.49,-0.463679,163.12,0,0.290693,-0.0814574
1492965811731,84.31,178.79,8.92,39.47,-72.64,-0.309119,163.14,0,0.170292,-0.120401
1492965811747,84.42,178.52,8.91,39.32,-72.6,-0.463679,163.17,0,0.291552,0.12126
1492965811753,84.51,178.19,8.85,39.26,-72.65,0,163.2,0,0.342039,0.050487
1492965811767,84.59,177.97,8.71,39.07,-72.72,-0.15456,163.23,0,0.234096,-0.107943
1492965811775,84.67,177.72,8.58,38.79,-72.75,0,163.26,0,0.262489,0.0283929
1492965811781,84.8,177.52,8.35,38.64,-73.15,0,163.28,0,0.238546,-0.0239427
1492965811787,84.93,177.43,7.88,38.45,-73.15,-0.618238,163.3,0,0.158116,-0.0804301
1492965811795,85.02,177.33,7.62,38.73,-72.95,-0.618238,163.32,0,0.134527,-0.0235888
1492965811803,85.11,177.29,7.28,38.29,-73.02,-0.309119,163.34,0,0.0984957,-0.0360313
1492965811811,85.12,177.28,6.96,38.2,-73.22,0,163.36,0,0.0141344,-0.0843613
1492965811818,85.14,177.29,6.58,38.18,-73.15,-0.463679,163.38,0,0.022362,0.00822768
1492965811825,85.07,177.28,6.19,38.11,-73.03,-0.618238,163.4,0,0.0707096,0.0483475
1492965811832,85.11,177.28,5.79,38.16,-72.93,-0.618238,163.42,0,0.0400009,-0.0307087
1492965811839,85.2,177.12,5.52,38.33,-73.09,-0.618238,163.44,0,0.183577,0.143576
1492965811847,85.18,177.03,4.93,38.36,-73.2,-0.772798,163.46,0,0.0921911,-0.0913858
1492965811855,85.14,176.85,4.68,38.53,-73.22,-0.15456,163.48,0,0.184399,0.0922077
1492965811863,85.13,176.69,4.52,38.52,-73.36,0.15456,163.5,0,0.160301,-0.0240981
1492965811870,85.14,176.49,4.38,38.59,-73.35,-0.309119,163.52,0,0.200262,0.0399614
1492965811877,85.12,176.23,4.37,38.64,-73.17,-0.309119,163.54,0,0.260763,0.0605008
1492965811884,85.08,175.9,4.45,38.58,-73.13,-0.15456,163.56,0,0.332416,0.0716535
1492965811890,85.03,175.59,4.5,38.47,-72.91,-0.309119,163.58,0,0.314004,-0.018412
1492965811896,85.03,175.23,4.66,38.41,-72.63,-0.618238,163.6,0,0.360001,0.0459962
1492965811903,85.02,174.69,4.79,38.43,-72.46,-0.772798,163.62,0,0.540086,0.180085
1492965811911,85.11,174.45,4.89,38.23,-71.95,-0.463679,163.64,0,0.256327,-0.283759
1492965811917,85.27,174.24,4.92,38.24,-71.57,-0.463679,163.66,0,0.264011,0.00768387
1492965811923,85.47,174.09,4.83,37.98,-71.16,0.15456,163.68,0,0.25,-0.0140105
1492965811931,85.8,174,4.66,37.98,-71.03,-0.463679,163.7,0,0.342046,0.0920461
1492965811939,86.15,173.96,4.49,38.07,-70.76,-0.927357,163.72,0,0.352285,0.0102392
1492965811947,86.53,173.9,4.33,38.04,-70.81,0.15456,163.74,0,0.384705,0.0324193
1492965811953,86.99,173.96,4.07,38.15,-70.67,-0.309119,163.76,0,0.463895,0.0791907
1492965811959,87.72,173.94,3.69,38.18,-70.5,-0.15456,163.78,0,0.730277,0.266382
1492965811967,88.14,173.97,3.47,38.37,-70.53,-0.618238,163.8,0,0.421068,-0.309209
1492965811975,88.53,173.92,3.33,38.44,-70.76,-0.618238,163.82,0,0.393192,-0.0278763
1492965811981,88.9,173.84,3.27,38.52,-70.69,-0.772798,163.84,0,0.378553,-0.0146389
1492965811987,89.22,173.75,3.24,38.44,-70.47,-0.309119,163.86,0,0.332414,-0.0461388
1492965811995,89.57,173.62,3.29,38.42,-70.28,-0.618238,163.88,0,0.373363,0.0409492
1492965812003,89.88,173.49,3.38,38.33,-69.65,-0.309119,163.9,0,0.336154,-0.037209
1492965812011,90.22,173.31,3.56,38.23,-69.65,-0.309119,163.92,0,0.384708,0.0485534
1492965812017,90.7,173.1,3.75,38.29,-69.45,-0.309119,163.94,0,0.523926,0.139219
1492965812023,91.07,173.03,3.82,38.07,-69.76,-0.618238,163.96,0,0.376565,-0.147362
1492965812031,91.49,173.04,3.75,38.14,-69.5,-0.309119,163.98,0,0.420117,0.0435525
1492965812039,91.92,173.08,3.7,38.07,-69.31,-0.618238,164,0,0.431858,0.0117405
1492965812047,92.48,173.16,3.56,38.06,-69.32,-0.927357,164.02,0,0.565683,0.133826
1492965812053,92.84,173.25,3.41,38.04,-69.25,0,164.04,0,0.371079,-0.194604
1492965812059,93.24,173.29,3.32,38.04,-69.35,-0.309119,164.06,0,0.401996,0.0309167
1492965812067,93.62,173.39,3.03,37.99,-69.28,-0.309119,164.08,0,0.392937,-0.00905931
1492965812075,93.96,173.37,2.86,37.91,-69.48,-0.309119,164.1,0,0.340592,-0.0523446
1492965812081,94.2,173.38,2.68,37.81,-69.54,-0.15456,164.12,0,0.240206,-0.100386
1492965812087,94.38,173.35,2.55,37.65,-69.42,0,164.14,0,0.182483,-0.0577229
1492965812095,94.55,173.34,2.42,37.67,-69.02,-0.463679,164.16,0,0.170292,-0.0121913
1492965812111,94.68,173.23,2.26,37.45,-68.67,-0.15456,164.19,0,0.170298,6.27339e-006
1492965812118,94.73,173.11,2.08,37.5,-68.51,-0.463679,164.22,0,0.129994,-0.0403042
1492965812125,94.83,173.09,1.82,37.36,-68.37,-0.309119,164.24,0,0.10198,-0.028014
1492965812133,94.95,173.13,1.61,37.32,-68.3,-0.463679,164.26,0,0.126492,0.0245119
1492965812140,95.18,173.17,1.41,37.2,-68.27,-0.463679,164.28,0,0.233457,0.106966
1492965812147,95.3,173.23,1.23,37.13,-68.2,-0.309119,164.3,0,0.134159,-0.0992985
1492965812154,95.46,173.32,1.01,37.3,-68.3,-0.772798,164.32,0,0.183577,0.0494184
1492965812167,95.63,173.35,0.76,37.26,-68.42,-0.618238,164.35,0,0.172625,-0.0109522
1492965812175,95.71,173.35,0.54,37.3,-68.63,-0.463679,164.38,0,0.0800018,-0.0926229
1492965812182,95.65,173.3,0.34,37.18,-68.88,-0.772798,164.4,0,0.0780928,-0.00190903
1492965812195,95.51,173.18,0.21,37.21,-68.69,-0.309119,164.43,0,0.184403,0.10631
1492965812203,95.31,173.02,0.09,37.26,-68.67,-0.463679,164.46,0,0.256125,0.0717219
1492965812211,95.1,172.93,-0.01,37.39,-68.71,-0.309119,164.48,0,0.228471,-0.0276539
1492965812217,94.85,172.82,-0.09,37.44,-68.87,-0.618238,164.5,0,0.27313,0.0446593
1492965812224,94.56,172.73,-0.25,37.36,-69,0.15456,164.52,0,0.303644,0.0305141
1492965812231,94.29,172.66,-0.37,37.43,-69.28,-0.15456,164.56,1,0.278921,-0.024723
1492965812239,94.03,172.61,-0.51,37.41,-69.66,-0.927357,164.56,1,0.264767,-0.0141546
1492965812251,93.87,172.53,-0.49,37.33,-69.42,-0.463679,164.59,1,0.17889,-0.0858772
1492965812259,93.6,172.47,-0.42,37.21,-69.75,-0.927357,164.62,1,0.276583,0.097693
1492965812267,93.31,172.49,-0.44,37.42,-71.07,-0.772798,164.64,1,0.290689,0.0141065
1492965812275,92.91,172.44,-0.38,37.23,-72.6,0,164.66,1,0.403113,0.112424
1492965812281,92.39,172.41,-0.37,37.13,-73.36,-0.309119,164.68,1,0.520861,0.117748
1492965812287,91.73,172.39,-0.32,36.97,-74.5,-0.772798,164.7,1,0.660307,0.139445
1492965812295,90.68,172.31,-0.26,36.66,-75.41,-0.309119,164.72,1,1.05304,0.392732
1492965812303,89.61,172.23,-0.29,36.45,-76.21,-0.618238,164.74,1,1.07299,0.0199475
1492965812311,88.06,171.96,0,36.02,-75.5,-0.463679,164.76,1,1.57334,0.500358
1492965812318,86.25,171.84,0.09,35.8,-75.91,-0.772798,164.78,1,1.81397,0.240627
1492965812325,84.54,171.63,0.12,35.64,-76.81,-0.927357,164.8,1,1.72285,-0.0911244
1492965812332,82.57,171.35,0.18,34.95,-78.91,-0.618238,164.82,1,1.9898,0.266954
1492965812339,80.65,171.1,0.04,34.68,-79.6,0.15456,164.84,1,1.93621,-0.0535942
1492965812346,78.85,170.83,-0.08,34.52,-80.2,-0.927357,164.86,1,1.82014,-0.116067
1492965812353,76.95,170.52,-0.28,34.54,-80.34,-0.309119,164.88,1,1.92513,0.104988
1492965812359,75.41,170.34,-0.44,34.54,-80.44,-0.309119,164.9,1,1.55048,-0.374643
1492965812367,73.93,170.19,-0.53,34.47,-80.59,-0.309119,164.92,1,1.48758,-0.0629069
1492965812375,72.1,170.16,-0.79,34.44,-80.92,-0.772798,164.94,1,1.83025,0.342671
1492965812382,70.83,170.14,-0.91,34.31,-81.12,-0.463679,164.96,1,1.27015,-0.560094
1492965812389,69.71,170.16,-0.95,34.36,-80.87,-0.772798,164.98,1,1.12018,-0.149973
1492965812399,68.64,170.2,-1.04,34.44,-80.59,-0.618238,165,1,1.07075,-0.0494344
1492965812406,68.04,170.24,-0.98,34.57,-80.21,-0.463679,165.02,1,0.60133,-0.469417
1492965812413,67.52,170.32,-0.96,34.68,-79.64,-0.309119,165.04,1,0.526122,-0.0752075
1492965812420,67.27,170.42,-0.94,34.89,-78.91,-0.618238,165.06,1,0.26926,-0.256862
1492965812431,67.31,170.62,-0.96,35,-78.68,-0.463679,165.09,1,0.203958,-0.0653025
1492965812439,67.87,170.82,-0.91,35.16,-78.85,0.309119,165.12,1,0.594639,0.390681
1492965812445,68.57,170.89,-0.87,35.3,-78.42,0.463679,165.14,1,0.703497,0.108857
1492965812452,69.52,170.95,-0.9,35.94,-75.97,-0.15456,165.16,1,0.95189,0.248393
1492965812459,70.67,171,-0.87,36.29,-75.19,0.15456,165.18,1,1.15109,0.199198
1492965812467,72.11,171.2,-1.1,36.29,-74.37,-0.309119,165.2,1,1.45382,0.302736
1492965812475,73.43,171.26,-1.09,36.4,-73.83,0.463679,165.22,1,1.32136,-0.132462
1492965812482,75.15,171.26,-0.96,36.61,-74.6,0.463679,165.24,1,1.72,0.398639
1492965812489,76.55,171.34,-0.97,36.58,-73.85,-0.309119,165.26,1,1.40228,-0.317723
1492965812496,78.53,171.41,-0.88,36.57,-73.26,0.618238,165.28,1,1.98124,0.578963
1492965812503,80.08,171.49,-0.68,36.54,-72.84,0.309119,165.3,1,1.55207,-0.429175
1492965812511,81.55,171.65,-0.74,36.55,-71.4,0.772798,165.32,1,1.47868,-0.0733896
1492965812518,82.94,171.74,-0.72,36.39,-70.75,0.618238,165.34,1,1.39291,-0.0857661
1492965812525,84.52,171.85,-0.61,36.2,-68.97,0.463679,165.36,1,1.58383,0.190917
1492965812532,85.95,171.96,-0.58,36.33,-69.53,0.463679,165.38,1,1.43422,-0.149601
1492965812539,87.25,172.07,-0.56,36.22,-68.87,0.15456,165.4,1,1.30465,-0.129576
1492965812545,88.5,172.14,-0.57,36.12,-68.24,0.15456,165.42,1,1.25196,-0.0526898
1492965812552,90.08,172.21,-0.63,35.89,-67.9,0.618238,165.44,1,1.58154,0.329585
1492965812559,91.33,172.35,-0.71,35.71,-67.46,0.618238,165.46,1,1.25782,-0.323728
1492965812567,92.94,172.58,-0.89,35.57,-67.61,-0.15456,165.48,1,1.62635,0.368532
1492965812575,94.66,172.76,-0.67,35.29,-67.42,-0.15456,165.5,1,1.72939,0.103046
1492965812581,95.77,172.89,-0.71,35.34,-66.97,-0.15456,165.52,1,1.11759,-0.611806
1492965812588,96.7,173.01,-0.73,35.35,-66.49,0,165.54,1,0.93771,-0.179878
1492965812595,97.36,173.07,-0.8,35.44,-66.63,-0.15456,165.56,1,0.662725,-0.274985
1492965812603,97.82,173.12,-0.89,35.4,-67.21,0.309119,165.58,1,0.462709,-0.200016
1492965812615,97.96,173.07,-0.97,35.18,-69.62,0,165.61,1,0.148661,-0.314048
1492965812639,97.71,172.84,-0.89,35.48,-73.67,-0.463679,165.66,1,0.339703,0.191042
1492965812646,96.36,172.35,-0.82,35.27,-72.25,-0.309119,165.7,1,1.43618,1.09647
1492965812653,94.97,171.95,-0.82,34.92,-72.37,0.463679,165.72,1,1.44641,0.0102311
1492965812659,93.59,171.7,-0.69,34.88,-73.26,0.309119,165.74,1,1.40247,-0.0439402
1492965812667,91.7,171.48,-0.44,34.71,-74.04,-0.309119,165.76,1,1.90276,0.500294
1492965812675,89.97,171.24,-0.14,34.52,-74.88,-0.463679,165.78,1,1.74656,-0.156196
1492965812682,87.96,171.03,0.06,34.19,-75.77,-0.15456,165.8,1,2.02094,0.274377
1492965812688,85.47,170.86,0.06,33.66,-78.79,0,165.82,1,2.49579,0.474853
1492965812695,83.46,170.83,-0.08,33.57,-78.07,-0.463679,165.84,1,2.01023,-0.485568
1492965812703,81.16,170.62,-0.17,33.81,-77.79,0,165.86,1,2.30957,0.299345
1492965812711,79.03,170.44,-0.23,33.82,-78.37,-0.309119,165.88,1,2.13759,-0.171982
1492965812718,76.85,170.23,-0.32,33.71,-79.18,-0.15456,165.9,1,2.19009,0.0525036
1492965812725,74.62,170,-0.62,33.75,-79.49,0.618238,165.92,1,2.24183,0.0517402
1492965812732,71.97,169.68,-0.91,33.88,-79.66,0,165.94,1,2.66925,0.427413
1492965812739,69.66,169.58,-1.3,34.06,-79.6,0,165.96,1,2.31217,-0.357077
1492965812746,67.82,169.2,-1.09,34.22,-79.45,-0.309119,165.98,1,1.87883,-0.433342
1492965812753,66.34,169.03,-1.13,34.44,-79.12,0.15456,166,1,1.48973,-0.389092
1492965812760,65.03,168.9,-1.21,34.65,-78.84,0.15456,166.02,1,1.31643,-0.173302
1492965812767,64.03,168.77,-1.19,34.9,-78.96,0.463679,166.04,1,1.00842,-0.308017
1492965812775,63.19,168.66,-1.12,35.13,-78.99,0.309119,166.06,1,0.84717,-0.161245
1492965812782,62.71,168.59,-1.05,35.19,-79.33,0.309119,166.08,1,0.485078,-0.362092
1492965812788,62.42,168.57,-1.01,35.24,-79.52,0.618238,166.1,1,0.29069,-0.194388
1492965812811,62.37,168.54,-0.91,35.5,-79.88,0.15456,166.14,1,0.0583082,-0.232382
